fname,amine_hole_contri,ald_hole_contri,amine_elec_contri,ald_elec_contri
ald_24_freq_cut_amine_13_freq_cut,-0.04%,100.04%,0.38%,99.62%
ald_24_freq_cut_amine_14_freq_cut,0.08%,99.92%,0.2%,99.8%
ald_24_freq_cut_amine_15_freq_cut,0.31%,99.69%,0.19%,99.81%
ald_24_freq_cut_amine_16_freq_cut,-0.01%,100.01%,0.25%,99.75%
ald_24_freq_cut_amine_17_freq_cut,0.18%,99.82%,0.0%,100.0%
ald_24_freq_cut_amine_18_freq_cut,84.29%,15.71%,84.39%,15.61%
ald_24_freq_cut_amine_19_freq_cut,0.28%,99.72%,0.2%,99.8%
ald_24_freq_cut_amine_1_freq_cut,-0.1%,100.1%,0.05%,99.95%
ald_24_freq_cut_amine_2_freq_cut,82.39%,17.61%,78.99%,21.01%
ald_24_freq_cut_amine_3_freq_cut,94.88%,5.12%,92.55%,7.45%
ald_24_freq_cut_amine_4_freq_cut,0.04%,99.96%,0.14%,99.86%
ald_24_freq_cut_amine_5_freq_cut,0.37%,99.63%,0.66%,99.34%
ald_24_freq_cut_amine_6_freq_cut,0.48%,99.52%,0.21%,99.79%
ald_24_freq_cut_amine_7_freq_cut,86.17%,13.83%,83.91%,16.09%
ald_24_freq_cut_amine_8_freq_cut,0.43%,99.57%,0.22%,99.78%
ald_24_freq_cut_amine_9_freq_cut,0.19%,99.81%,-0.04%,100.04%
ald_25_freq_cut_amine_0_freq_cut,0.82%,99.18%,0.29%,99.71%
ald_25_freq_cut_amine_10_freq_cut,84.31%,15.69%,84.35%,15.65%
ald_25_freq_cut_amine_11_freq_cut,45.13%,54.87%,40.94%,59.06%
ald_25_freq_cut_amine_12_freq_cut,1.67%,98.33%,0.82%,99.18%
ald_25_freq_cut_amine_13_freq_cut,2.82%,97.18%,2.03%,97.97%
ald_25_freq_cut_amine_14_freq_cut,1.55%,98.45%,0.9%,99.1%
ald_25_freq_cut_amine_15_freq_cut,18.65%,81.35%,13.31%,86.69%
ald_25_freq_cut_amine_16_freq_cut,1.56%,98.44%,1.5%,98.5%
ald_25_freq_cut_amine_17_freq_cut,2.04%,97.96%,2.04%,97.96%
ald_25_freq_cut_amine_18_freq_cut,84.61%,15.39%,84.37%,15.63%
ald_25_freq_cut_amine_19_freq_cut,1.7%,98.3%,1.51%,98.49%
ald_25_freq_cut_amine_1_freq_cut,0.78%,99.22%,0.56%,99.44%
ald_25_freq_cut_amine_2_freq_cut,85.99%,14.01%,81.87%,18.13%
ald_25_freq_cut_amine_3_freq_cut,95.17%,4.83%,93.42%,6.58%
ald_25_freq_cut_amine_4_freq_cut,17.32%,82.68%,11.48%,88.52%
